#upper limit 	 trapezoidal 	 simpsons 	 guass_quadrature 
0.915555 	 0.136883 	 0.136884 	 0.136909 
0.925555 	 0.143622 	 0.143623 	 0.143650 
0.935555 	 0.150520 	 0.150521 	 0.150549 
0.945555 	 0.157575 	 0.157575 	 0.157605 
0.955555 	 0.164788 	 0.164789 	 0.164819 
0.965555 	 0.172159 	 0.172160 	 0.172192 
0.975555 	 0.179690 	 0.179691 	 0.179723 
0.985555 	 0.187379 	 0.187380 	 0.187414 
0.995555 	 0.195228 	 0.195229 	 0.195264 
1.005555 	 0.203237 	 0.203238 	 0.203274 
1.015555 	 0.211406 	 0.211407 	 0.211445 
1.025555 	 0.219735 	 0.219737 	 0.219775 
1.035555 	 0.228226 	 0.228227 	 0.228267 
1.045555 	 0.236878 	 0.236879 	 0.236920 
1.055555 	 0.245691 	 0.245692 	 0.245735 
1.065555 	 0.254666 	 0.254668 	 0.254711 
1.075555 	 0.263804 	 0.263805 	 0.263850 
1.085555 	 0.273104 	 0.273105 	 0.273151 
1.095555 	 0.282567 	 0.282568 	 0.282616 
1.105555 	 0.292193 	 0.292195 	 0.292244 
1.115555 	 0.301983 	 0.301984 	 0.302035 
1.125555 	 0.311937 	 0.311938 	 0.311990 
1.135555 	 0.322055 	 0.322056 	 0.322109 
1.145555 	 0.332338 	 0.332339 	 0.332394 
1.155555 	 0.342785 	 0.342787 	 0.342842 
1.165555 	 0.353398 	 0.353399 	 0.353457 
1.175555 	 0.364176 	 0.364178 	 0.364236 
1.185555 	 0.375120 	 0.375122 	 0.375182 
1.195555 	 0.386230 	 0.386232 	 0.386293 
1.205555 	 0.397506 	 0.397508 	 0.397571 
1.215555 	 0.408949 	 0.408951 	 0.409016 
1.225555 	 0.420559 	 0.420562 	 0.420627 
1.235555 	 0.432337 	 0.432339 	 0.432406 
1.245555 	 0.444281 	 0.444283 	 0.444352 
1.255555 	 0.456393 	 0.456395 	 0.456466 
1.265555 	 0.468674 	 0.468676 	 0.468747 
1.275555 	 0.481122 	 0.481125 	 0.481197 
1.285555 	 0.493739 	 0.493741 	 0.493816 
1.295555 	 0.506525 	 0.506527 	 0.506603 
1.305555 	 0.519479 	 0.519482 	 0.519559 
1.315555 	 0.532603 	 0.532605 	 0.532685 
1.325555 	 0.545896 	 0.545899 	 0.545979 
1.335555 	 0.559359 	 0.559361 	 0.559444 
1.345555 	 0.572991 	 0.572994 	 0.573078 
1.355555 	 0.586794 	 0.586796 	 0.586882 
1.365555 	 0.600767 	 0.600769 	 0.600856 
1.375555 	 0.614909 	 0.614912 	 0.615001 
1.385555 	 0.629223 	 0.629226 	 0.629316 
1.395555 	 0.643708 	 0.643711 	 0.643802 
1.405555 	 0.658363 	 0.658366 	 0.658459 
1.415555 	 0.673189 	 0.673192 	 0.673287 
1.425555 	 0.688187 	 0.688190 	 0.688287 
1.435555 	 0.703356 	 0.703359 	 0.703457 
1.445555 	 0.718696 	 0.718699 	 0.718800 
1.455555 	 0.734209 	 0.734212 	 0.734314 
1.465555 	 0.749892 	 0.749896 	 0.749999 
1.475555 	 0.765749 	 0.765752 	 0.765857 
1.485555 	 0.781777 	 0.781780 	 0.781887 
1.495555 	 0.797977 	 0.797981 	 0.798089 
1.505555 	 0.814350 	 0.814353 	 0.814463 
1.515555 	 0.830894 	 0.830898 	 0.831010 
1.525555 	 0.847612 	 0.847615 	 0.847729 
1.535555 	 0.864502 	 0.864505 	 0.864621 
1.545555 	 0.881564 	 0.881568 	 0.881685 
1.555555 	 0.898800 	 0.898804 	 0.898923 
1.565555 	 0.916208 	 0.916212 	 0.916333 
1.575555 	 0.933790 	 0.933793 	 0.933916 
1.585555 	 0.951543 	 0.951547 	 0.951671 
